score,percentage
2.011074376,1.30
1.880760296,1.10
1.880760296,1.10
1.880760296,1.10
1.871211656,1.00
1.871211656,1.00
1.857944456,0.90
1.704836936,0.70
1.704836936,0.70
1.614000616,0.70
1.578263976,0.60
1.563054868,0.50
1.500133256,0.50
1.360508136,0.30
1.360508136,0.30
1.220667976,0.20
1.207400776,0.20
1.116564296,0.10
0.976724136,0.00
0.953908296,0.00

